DATE,IPG2211A2N
1958-05-01,16.7252
1958-06-01,17.1573
1958-07-01,17.6403
1958-08-01,18.3520
1958-09-01,18.4028
1958-10-01,17.8436
1958-11-01,17.7674
1958-12-01,18.7078
1959-01-01,19.6992
1959-02-01,19.3687
1959-03-01,19.2670
1959-04-01,18.8095
1959-05-01,18.6824
1959-06-01,19.2670
1959-07-01,19.7754
1959-08-01,20.1821
1959-09-01,20.3855
1959-10-01,19.4704
1959-11-01,19.4196
1959-12-01,20.5380
1960-01-01,21.4022
1960-02-01,21.0972
1960-03-01,21.1988
1960-04-01,20.4871
1960-05-01,19.8771
1960-06-01,20.3855
1960-07-01,20.8938
1960-08-01,21.7072
1960-09-01,21.7326
1960-10-01,20.7159
1960-11-01,20.4871
1960-12-01,21.2497
1961-01-01,22.2664
1961-02-01,21.8089
1961-03-01,21.5039
1961-04-01,21.1480
1961-05-01,21.1480
1961-06-01,21.6055
1961-07-01,22.1139
1961-08-01,23.1560
1961-09-01,23.2831
1961-10-01,22.3681
1961-11-01,22.0376
1961-12-01,22.9527
1962-01-01,24.3253
1962-02-01,23.6898
1962-03-01,23.5373
1962-04-01,22.6731
1962-05-01,22.5714
1962-06-01,23.3340
1962-07-01,24.0457
1962-08-01,24.7066
1962-09-01,24.7066
1962-10-01,23.6898
1962-11-01,23.5373
1962-12-01,24.4269
1963-01-01,25.8504
1963-02-01,25.5454
1963-03-01,25.0624
1963-04-01,24.1219
1963-05-01,24.1219
1963-06-01,24.9099
1963-07-01,26.0283
1963-08-01,26.8671
1963-09-01,26.4858
1963-10-01,25.1387
1963-11-01,24.8337
1963-12-01,26.0537
1964-01-01,27.7567
1964-02-01,26.9179
1964-03-01,26.8417
1964-04-01,26.4096
1964-05-01,26.2062
1964-06-01,27.0705
1964-07-01,28.7989
1964-08-01,29.5869
1964-09-01,28.9514
1964-10-01,27.4517
1964-11-01,26.8417
1964-12-01,28.3414
1965-01-01,29.4598
1965-02-01,28.7989
1965-03-01,28.8497
1965-04-01,28.1889
1965-05-01,27.7059
1965-06-01,28.6972
1965-07-01,29.9936
1965-08-01,31.0103
1965-09-01,30.8578
1965-10-01,29.3581
1965-11-01,28.5701
1965-12-01,30.0190
1966-01-01,31.2391
1966-02-01,31.1882
1966-03-01,30.7561
1966-04-01,29.7902
1966-05-01,29.5614
1966-06-01,30.7053
1966-07-01,33.3233
1966-08-01,34.3147
1966-09-01,33.2979
1966-10-01,31.2136
1966-11-01,30.8069
1966-12-01,32.2049
1967-01-01,33.9679
1967-02-01,33.4014
1967-03-01,32.3654
1967-04-01,32.1122
1967-05-01,31.0557
1967-06-01,32.4139
1967-07-01,33.4834
1967-08-01,33.8653
1967-09-01,32.8481
1967-10-01,32.7833
1967-11-01,33.2957
1967-12-01,35.2962
1968-01-01,36.6132
1968-02-01,35.7047
1968-03-01,35.4158
1968-04-01,33.7936
1968-05-01,33.4185
1968-06-01,35.5438
1968-07-01,36.1862
1968-08-01,37.4886
1968-09-01,36.6594
1968-10-01,34.9119
1968-11-01,35.5404
1968-12-01,38.1186
1969-01-01,39.5191
1969-02-01,39.1033
1969-03-01,38.3820
1969-04-01,36.5570
1969-05-01,35.7631
1969-06-01,38.3403
1969-07-01,40.2081
1969-08-01,41.5498
1969-09-01,39.7396
1969-10-01,38.1136
1969-11-01,39.1401
1969-12-01,40.5398
1970-01-01,42.3944
1970-02-01,41.8738
1970-03-01,40.9526
1970-04-01,39.5522
1970-05-01,39.2904
1970-06-01,40.5228
1970-07-01,42.5284
1970-08-01,44.0937
1970-09-01,42.9000
1970-10-01,39.8951
1970-11-01,40.2806
1970-12-01,41.4350
1971-01-01,44.2293
1971-02-01,43.6565
1971-03-01,42.0677
1971-04-01,40.7577
1971-05-01,40.1733
1971-06-01,42.8490
1971-07-01,44.4614
1971-08-01,45.3681
1971-09-01,44.7737
1971-10-01,43.2433
1971-11-01,43.2958
1971-12-01,44.8725
1972-01-01,48.0497
1972-02-01,49.2025
1972-03-01,47.0569
1972-04-01,43.7833
1972-05-01,41.4162
1972-06-01,43.1052
1972-07-01,44.6571
1972-08-01,47.2126
1972-09-01,46.0775
1972-10-01,43.9801
1972-11-01,46.4659
1972-12-01,51.3884
1973-01-01,55.1100
1973-02-01,53.2168
1973-03-01,49.7804
1973-04-01,46.1387
1973-05-01,44.2699
